# help-builtins - the builtin one-liners: name<TAB>call<TAB>meaning, ONE ROW PER MEANING.
# Order is display order; the FIRST row of a name is what the REPL hint (.help.oneline) shows.
# call: one idiomatic invocation, <=36 chars, copy-paste executable where it can be.
# meaning: lowercase verb phrase, no trailing period, a whole thought on its own.
# The RESULT column is NOT here - tools/gen-help-builtins.py witnesses it by running the call.
# Longer explanations are the website's job (\??topic). Edit this file, rerun the generator, commit both.
':	(-':)1 4 9	apply to each item and the one before - each prior
/:	1 2 3+/:10 20	apply to each item on the right - each right
\:	10 20+\:1 2 3	apply to each item on the left - each left
/	(+/)1 2 3	reduce a list to one value - over
/	10+/1 2 3	reduce from a starting value
/	{x*2}/[3;1]	apply a function x times, or until it converges
\	(+\)1 2 3	accumulate along a list, keeping every step - scan
\	10+\1 2 3	accumulate from a starting value
'type	1+`a	a value has the wrong type for the operation
'length	1 2 3+1 2	the arguments do not conform in length
'rank	+[2;3;4]	a function was applied to the wrong number of arguments
'domain	til -1	an argument is outside the verb's domain
'parse	value "1+("	the text is not valid q
'assign	cos:12	tried to redefine a reserved word
'mismatch	([]a:1 2),([]b:3 4)	the tables or dictionaries do not line up
'insert	t:([a:1 2j]b:3 4);`t insert(1j;5)	a keyed insert would duplicate a key that is already there
'limit	f:{f x};f 1	an engine limit was hit - recursion depth, or a size cap
'nyi	3?`a	the operation makes sense but is not implemented yet
'os	system "nosuchcommand"	the operating system refused the request
'io	read0 `:/no/such/file	a file or handle could not be read or written
'oom	0W#2	the allocation failed - not enough memory
started	\?started	learn q in one minute · page
started	10 20 30 40	a LIST is values side by side, no commas
started	(10 20 30 40)1 3	index a list by position, counting from zero
started	1 2 3+10	verbs are atomic: they spread over a whole list
started	sum 10 20 30	aggregates collapse a list to one value
started	`a`b`c!10 20 30	a DICTIONARY maps keys to values with !
started	([]s:`a`b;p:10 20)	a TABLE is a list of equal-length named columns
started	select from ([]p:10 20)where p>15	qsql picks rows and columns out of a table
started	{x*2} 5	a FUNCTION is braces; x y z are its implicit arguments
started	(+/)1 2 3 4	an ITERATOR: / folds a verb along a list
started	count each ("ab";"cde")	each applies a verb item by item
started	2#"abcdef"	# takes items; a string is a list of characters
started	"J"$"42"	$ casts: "J" long, "F" float, "D" date, "S" symbol
started	("SJ";enlist",")0:("a,b";"x,1")	0: parses delimited text into a table
started	\?types	keep going: \?types \?math \?joins \?strings \?temporal \?table
